subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L271,271,36,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L326,326,36,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L357,357,64,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/alignments.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/alignments.py#L51,51,59,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/annotate.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/annotate.py#L54,54,33,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L86,86,26,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L122,122,76,1,13,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L129,129,49,2,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L155,155,43,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L185,185,30,1,5,0,0,0,False
